law,name,prop,fail,return_code,verdict,error_id,warnings,deck,out,note
LAW15,CHANG,TYPE14,base,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE14_base_0000.rad,deck_LAW15_TYPE14_base_0000.out,Chang composite shell material
LAW15,CHANG,TYPE14,HASHIN,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE14_HASHIN_0000.rad,deck_LAW15_TYPE14_HASHIN_0000.out,Chang composite shell material
LAW15,CHANG,TYPE14,PUCK,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE14_PUCK_0000.rad,deck_LAW15_TYPE14_PUCK_0000.out,Chang composite shell material
LAW15,CHANG,TYPE14,TSAIWU,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE14_TSAIWU_0000.rad,deck_LAW15_TYPE14_TSAIWU_0000.out,Chang composite shell material
LAW15,CHANG,TYPE14,CHANG,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE14_CHANG_0000.rad,deck_LAW15_TYPE14_CHANG_0000.out,Chang composite shell material
LAW15,CHANG,TYPE14,USER1,2,BLOCKED:1130,1130,"100214,100217,100214,100217",deck_LAW15_TYPE14_USER1_0000.rad,deck_LAW15_TYPE14_USER1_0000.out,Chang composite shell material
LAW15,CHANG,TYPE14,JOHNSON,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE14_JOHNSON_0000.rad,deck_LAW15_TYPE14_JOHNSON_0000.out,Chang composite shell material
LAW15,CHANG,TYPE6,base,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE6_base_0000.rad,deck_LAW15_TYPE6_base_0000.out,Chang composite shell material
LAW15,CHANG,TYPE6,HASHIN,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE6_HASHIN_0000.rad,deck_LAW15_TYPE6_HASHIN_0000.out,Chang composite shell material
LAW15,CHANG,TYPE6,PUCK,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE6_PUCK_0000.rad,deck_LAW15_TYPE6_PUCK_0000.out,Chang composite shell material
LAW15,CHANG,TYPE6,TSAIWU,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE6_TSAIWU_0000.rad,deck_LAW15_TYPE6_TSAIWU_0000.out,Chang composite shell material
LAW15,CHANG,TYPE6,CHANG,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE6_CHANG_0000.rad,deck_LAW15_TYPE6_CHANG_0000.out,Chang composite shell material
LAW15,CHANG,TYPE6,USER1,2,BLOCKED:1130,1130,"100214,100217,100214,100217",deck_LAW15_TYPE6_USER1_0000.rad,deck_LAW15_TYPE6_USER1_0000.out,Chang composite shell material
LAW15,CHANG,TYPE6,JOHNSON,2,BLOCKED:3046,3046,"100214,100217,100214,100217",deck_LAW15_TYPE6_JOHNSON_0000.rad,deck_LAW15_TYPE6_JOHNSON_0000.out,Chang composite shell material
LAW15,CHANG,TYPE1,base,2,BLOCKED:1052,1052,"100214,100214,100214",deck_LAW15_TYPE1_base_0000.rad,deck_LAW15_TYPE1_base_0000.out,Chang composite shell material
LAW15,CHANG,TYPE1,HASHIN,2,BLOCKED:1052,1052,"100214,100214,100214",deck_LAW15_TYPE1_HASHIN_0000.rad,deck_LAW15_TYPE1_HASHIN_0000.out,Chang composite shell material
LAW15,CHANG,TYPE1,PUCK,2,BLOCKED:1052,1052,"100214,100214,100214",deck_LAW15_TYPE1_PUCK_0000.rad,deck_LAW15_TYPE1_PUCK_0000.out,Chang composite shell material
LAW15,CHANG,TYPE1,TSAIWU,2,BLOCKED:1052,1052,"100214,100214,100214",deck_LAW15_TYPE1_TSAIWU_0000.rad,deck_LAW15_TYPE1_TSAIWU_0000.out,Chang composite shell material
LAW15,CHANG,TYPE1,CHANG,2,BLOCKED:1052,1052,"100214,100214,100214",deck_LAW15_TYPE1_CHANG_0000.rad,deck_LAW15_TYPE1_CHANG_0000.out,Chang composite shell material
LAW15,CHANG,TYPE1,USER1,2,BLOCKED:1130,1130,"100214,100214,100214",deck_LAW15_TYPE1_USER1_0000.rad,deck_LAW15_TYPE1_USER1_0000.out,Chang composite shell material
LAW15,CHANG,TYPE1,JOHNSON,2,BLOCKED:1052,1052,"100214,100214,100214",deck_LAW15_TYPE1_JOHNSON_0000.rad,deck_LAW15_TYPE1_JOHNSON_0000.out,Chang composite shell material
LAW25,COMPSH,TYPE14,base,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW25_TYPE14_base_0000.rad,deck_LAW25_TYPE14_base_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE14,HASHIN,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW25_TYPE14_HASHIN_0000.rad,deck_LAW25_TYPE14_HASHIN_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE14,PUCK,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW25_TYPE14_PUCK_0000.rad,deck_LAW25_TYPE14_PUCK_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE14,TSAIWU,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW25_TYPE14_TSAIWU_0000.rad,deck_LAW25_TYPE14_TSAIWU_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE14,CHANG,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW25_TYPE14_CHANG_0000.rad,deck_LAW25_TYPE14_CHANG_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE14,USER1,2,BLOCKED:1130,1130,"100214,100217,100214,100217",deck_LAW25_TYPE14_USER1_0000.rad,deck_LAW25_TYPE14_USER1_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE14,JOHNSON,2,BLOCKED:3047,3047,"100214,100217,3001,100214,100217,3001",deck_LAW25_TYPE14_JOHNSON_0000.rad,deck_LAW25_TYPE14_JOHNSON_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE6,base,0,OK,,"100214,100217,100214,100217",deck_LAW25_TYPE6_base_0000.rad,deck_LAW25_TYPE6_base_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE6,HASHIN,0,OK,,"100214,100217,100214,100217",deck_LAW25_TYPE6_HASHIN_0000.rad,deck_LAW25_TYPE6_HASHIN_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE6,PUCK,0,OK,,"100214,100217,100214,100217",deck_LAW25_TYPE6_PUCK_0000.rad,deck_LAW25_TYPE6_PUCK_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE6,TSAIWU,0,OK,,"100214,100217,100214,100217",deck_LAW25_TYPE6_TSAIWU_0000.rad,deck_LAW25_TYPE6_TSAIWU_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE6,CHANG,0,OK,,"100214,100217,100214,100217",deck_LAW25_TYPE6_CHANG_0000.rad,deck_LAW25_TYPE6_CHANG_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE6,USER1,2,BLOCKED:1130,1130,"100214,100217,100214,100217",deck_LAW25_TYPE6_USER1_0000.rad,deck_LAW25_TYPE6_USER1_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE6,JOHNSON,0,OK,,"100214,100217,3001,100214,100217,3001",deck_LAW25_TYPE6_JOHNSON_0000.rad,deck_LAW25_TYPE6_JOHNSON_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE1,base,2,BLOCKED:1052,1052,"100214,100214,100214",deck_LAW25_TYPE1_base_0000.rad,deck_LAW25_TYPE1_base_0000.out,CRASURV/COMPSH composite shell card
LAW25,COMPSH,TYPE1,HASHIN,2,BLOCKED:1052,1052,"100214,100214,100214",deck_LAW25_TYPE1_HASHIN_0000.rad,deck_LAW25_TYPE1_HASHIN_0000.out,CRASURV/COMPSH composite shell card
